Name,Abbrev
BET,BET
BET,BET
BET,BET
BET,BET
BET,BET
BET,BET
BET,BET
BET,BET
BET,BET
BET,BET
BET,BET
BET,BET
BET,BET
Centric,CTC
CMT,CMT
CMT,CMT
CMT,CMT
CMT,CMT
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Comedy Central,CCL
Content Distribution,CDI
Content Distribution,CDI
Content Distribution,CDI
Logo,LGO
Logo,LGO
Logo,LGO
Logo,LGO
Logo,LGO
Logo,LGO
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
MTV,MTV
N/A,N/A
Nick Apps,NAP
Nick Apps,NAP
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Consumer Marketing,NCM
Nick Franchise,NKF
Nick Franchise,NKF
Nick Franchise,NKF
Nick Jr,NKJ
Nick Jr,NKJ
Nick Jr,NKJ
Nick Jr,NKJ
Nick Jr,NKJ
Nick Jr,NKJ
Nick Jr,NKJ
Nick Jr,NKJ
Nick Jr,NKJ
Nick Jr,NKJ
Nick Jr,NKJ
Nick Partner Marketing,NPM
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Publishing,NKP
Nick Retail,NKR
Nick Retail,NKR
Nick Retail,NKR
Nick Retail,NKR
Nick Retail,NKR
Nick Retail,NKR
Nick Retail,NKR
Nick Retail,NKR
Nick Retail,NKR
Nick Retail,NKR
Nick Retail,NKR
Nick Retail,NKR
Nick Retail,NKR
Nick Retail,NKR
Nick Retail,NKR
Nick Retail,NKR
Nick Retail,NKR
Paramount Network,PMN
Paramount Network,PMN
Paramount Network,PMN
Paramount Network,PMN
Paramount Network,PMN
Paramount Network,PMN
Paramount Pictures,PRM
Spike,SPK
Spike,SPK
Spike,SPK
Spike,SPK
Spike,SPK
Spike,SPK
TV Land,TVL
TV Land,TVL
TV Land,TVL
TV Land,TVL
TV Land,TVL
TV Land,TVL
TV Land,TVL
Velocity,VCT
Velocity,VCT
Velocity,VCT
Velocity,VCT
Velocity,VCT
Velocity,VCT
Velocity,VCT
Velocity,VCT
Velocity,VCT
Velocity,VCT
Velocity,VCT
Velocity,VCT
Velocity,VCT
Velocity,VCT
Velocity,VCT
Velocity,VH1
Velocity,VCT
Velocity,VCT
Velocity,VCT
Velocity,VCT
Velocity,VCT
Velocity,VCT
Velocity,VCT
Velocity,VCT
Velocity,VCT
Velocity,VCT
Velocity,VCT
Velocity,VCT
Velocity,VCT
Velocity,VCT
Velocity,VCT
VH0,VH0
VH1,VH1
VH1,VH1
VH1,VH1
VH1,VH1
VH1,VH1
VH1,VH1
VH1,VH1
VH1,VH1
VH1,VH1
VH1,VH1
VH1,VH1
VH1,VH1
VH1,VH1
VH1,VH1
VH1,VH1
VH1,VH1
VH1,VH1
VH1,VH1
VH1,VH1
VH1,VH1
Viacom,VIA
Viacom,VIA
Rate My Professor,RMP
